model,rule,precision,recall,f1,coverage
TFIDF-IR,01,0.25,1.0,0.4,1.0
TFIDF-IR,02,0.0,0.0,0.0,1.0
TFIDF-IR,03,0.08333333333333333,1.0,0.15384615384615385,1.0
TFIDF-IR,05A,0.4166666666666667,1.0,0.5882352941176471,1.0
TFIDF-IR,08,0.08333333333333333,1.0,0.15384615384615385,1.0
TFIDF-IR,10A,0.5833333333333334,1.0,0.7368421052631579,1.0
TFIDF-IR,12,0.5,1.0,0.6666666666666666,1.0
TFIDF-IR,13,0.0,0.0,0.0,1.0
TFIDF+LogReg,01,0.0,0.0,0.0,1.0
TFIDF+LogReg,02,0.0,0.0,0.0,1.0
TFIDF+LogReg,03,0.0,0.0,0.0,1.0
TFIDF+LogReg,05A,0.0,0.0,0.0,1.0
TFIDF+LogReg,08,0.0,0.0,0.0,1.0
TFIDF+LogReg,10A,1.0,1.0,1.0,1.0
TFIDF+LogReg,12,1.0,1.0,1.0,1.0
TFIDF+LogReg,13,0.0,0.0,0.0,1.0
